Date;High;Low;Close
04/03/2011;360.29;357.75;360.00
03/03/2011;359.79;355.92;359.56
02/03/2011;354.35;348.40;352.12
01/03/2011;355.72;347.68;349.31
28/02/2011;355.05;351.12;353.21
25/02/2011;348.43;344.80;348.16
24/02/2011;345.15;338.37;342.88
23/02/2011;344.64;338.61;342.62
22/02/2011;345.40;337.72;338.61
18/02/2011;359.50;349.52;350.56
17/02/2011;360.27;356.52;358.30
16/02/2011;364.90;360.50;363.13
15/02/2011;359.97;357.55;359.90
14/02/2011;359.48;356.71;359.18
11/02/2011;357.80;353.54;356.85
10/02/2011;360.00;348.00;354.54
09/02/2011;359.00;354.87;358.16
08/02/2011;355.52;352.15;355.20
07/02/2011;353.25;347.64;351.88
04/02/2011;346.70;343.51;346.50
03/02/2011;344.24;338.55;343.44
02/02/2011;345.25;343.55;344.32
01/02/2011;345.65;340.98;345.03
31/01/2011;340.04;334.30;339.32
28/01/2011;344.40;333.53;336.10
27/01/2011;344.69;342.83;343.21
26/01/2011;345.60;341.50;343.85
25/01/2011;341.44;334.57;341.40
24/01/2011;337.45;326.72;337.45
21/01/2011;334.88;326.63;326.72
20/01/2011;338.30;330.12;332.68
19/01/2011;348.60;336.88;338.84
18/01/2011;344.76;326.00;340.65
14/01/2011;348.48;344.44;348.48
13/01/2011;346.64;343.85;345.68
12/01/2011;344.43;342.00;344.42
11/01/2011;344.96;339.47;341.64
10/01/2011;343.23;337.17;342.45
07/01/2011;336.35;331.90;336.12
06/01/2011;335.25;332.90;333.73
05/01/2011;334.34;329.50;334.00
04/01/2011;332.50;328.15;331.29
03/01/2011;330.26;324.84;329.57
31/12/2010;323.48;321.31;322.56
30/12/2010;325.51;323.05;323.66
29/12/2010;326.45;325.10;325.29
28/12/2010;326.66;325.06;325.47
27/12/2010;325.44;321.52;324.68
23/12/2010;325.15;323.17;323.60
22/12/2010;325.72;323.55;325.16
21/12/2010;324.39;322.05;324.20
20/12/2010;323.25;318.23;322.21
17/12/2010;321.79;320.23;320.61
16/12/2010;322.61;320.10;321.25
15/12/2010;323.00;319.19;320.36
14/12/2010;322.54;319.00;320.29
13/12/2010;325.06;321.00;321.67
10/12/2010;321.05;318.60;320.56
09/12/2010;322.50;319.02;319.76
08/12/2010;321.02;317.11;321.01
07/12/2010;323.99;318.12;318.21
06/12/2010;322.33;318.42;320.15
03/12/2010;318.65;316.34;317.44
02/12/2010;319.00;314.89;318.15
01/12/2010;317.75;315.00;316.40
30/11/2010;314.36;310.87;311.15
29/11/2010;317.48;311.38;316.87
26/11/2010;317.70;312.94;315.00
24/11/2010;315.40;311.75;314.80
23/11/2010;311.75;306.56;308.73
22/11/2010;313.36;305.87;313.36
19/11/2010;308.40;305.24;306.73
18/11/2010;309.67;304.69;308.43
17/11/2010;303.99;297.76;300.50
16/11/2010;307.60;299.32;301.59
15/11/2010;310.54;306.27;307.04
12/11/2010;316.50;303.63;308.03
11/11/2010;318.40;314.25;316.65
10/11/2010;318.77;313.55;318.03
09/11/2010;321.30;314.50;316.08
08/11/2010;319.77;316.76;318.62
05/11/2010;319.57;316.75;317.13
04/11/2010;320.18;315.03;318.27
03/11/2010;312.88;308.53;312.80
02/11/2010;310.19;307.00;309.36
01/11/2010;305.60;302.20;304.18
29/10/2010;305.88;300.87;300.98
28/10/2010;308.00;300.90;305.24
27/10/2010;309.90;305.60;307.83
26/10/2010;309.74;305.65;308.05
25/10/2010;311.60;308.44;308.84
22/10/2010;310.04;306.30;307.47
21/10/2010;314.74;306.80;309.52
20/10/2010;314.25;306.87;310.53
19/10/2010;313.77;300.02;309.49
18/10/2010;319.00;314.29;318.00
15/10/2010;315.00;304.91;314.74
14/10/2010;302.47;300.40;302.31
13/10/2010;301.96;299.80;300.14
12/10/2010;299.50;292.49;298.54
11/10/2010;297.24;294.60;295.36
08/10/2010;294.50;290.00;294.07
07/10/2010;290.48;286.91;289.22
06/10/2010;291.99;285.26;289.19
05/10/2010;289.45;281.82;288.94
04/10/2010;282.90;277.77;278.64
01/10/2010;286.58;281.35;282.52
30/09/2010;290.00;281.25;283.75
29/09/2010;289.81;286.00;287.37
28/09/2010;291.77;275.00;286.86
27/09/2010;294.73;291.01;291.16
24/09/2010;293.53;290.55;292.32
23/09/2010;292.76;286.00;288.92
22/09/2010;287.98;282.41;287.75
21/09/2010;287.35;282.79;283.77
20/09/2010;283.78;275.85;283.23
17/09/2010;277.96;273.68;275.37
16/09/2010;276.67;269.50;276.57
15/09/2010;270.38;267.84;270.22
14/09/2010;269.17;265.52;268.06
13/09/2010;268.28;265.76;267.04
10/09/2010;264.50;261.40;263.41
09/09/2010;266.52;262.92;263.07
08/09/2010;264.39;259.10;262.92
07/09/2010;259.53;256.25;257.81
03/09/2010;258.78;254.50;258.77
02/09/2010;252.17;248.57;252.17
01/09/2010;251.46;246.28;250.33
31/08/2010;244.56;240.35;243.10
30/08/2010;245.75;240.68;242.50
27/08/2010;242.61;235.56;241.62
26/08/2010;245.75;240.28;240.28
25/08/2010;243.99;237.20;242.89
24/08/2010;243.00;238.65;239.93
23/08/2010;252.00;245.25;245.80
20/08/2010;253.92;249.00;249.64
19/08/2010;253.48;248.68;249.88
18/08/2010;254.67;251.58;253.07
17/08/2010;254.63;249.20;251.97
16/08/2010;250.01;246.62;247.64
13/08/2010;251.88;249.09;249.10
12/08/2010;253.10;246.12;251.79
11/08/2010;255.69;249.81;250.19
10/08/2010;260.45;257.55;259.41
09/08/2010;262.15;259.57;261.75
06/08/2010;261.49;257.63;260.09
05/08/2010;263.18;260.55;261.70
04/08/2010;264.28;260.31;262.98
03/08/2010;263.26;259.42;261.93
02/08/2010;262.59;259.62;261.85
30/07/2010;259.70;254.90;257.25
29/07/2010;262.65;256.10;258.11
28/07/2010;265.99;260.25;260.96
27/07/2010;264.80;260.30;264.08
26/07/2010;260.10;257.71;259.28
23/07/2010;260.38;256.28;259.94
22/07/2010;260.00;255.31;259.02
21/07/2010;265.15;254.00;254.24
20/07/2010;252.90;240.01;251.89
19/07/2010;249.88;239.60;245.58
16/07/2010;254.97;248.41;249.90
15/07/2010;256.97;247.30;251.45
14/07/2010;255.80;249.00;252.73
13/07/2010;256.40;246.43;251.80
12/07/2010;261.85;254.86;257.29
09/07/2010;259.90;255.16;259.62
08/07/2010;262.90;254.89;258.09
07/07/2010;258.77;249.75;258.67
06/07/2010;252.80;246.16;248.63
02/07/2010;250.93;243.20;246.94
01/07/2010;254.80;243.22;248.48
30/06/2010;257.97;250.01;251.53
29/06/2010;264.39;254.30;256.17
28/06/2010;269.75;264.52;268.30
25/06/2010;270.27;265.81;266.70
24/06/2010;273.20;268.10;269.00
23/06/2010;274.66;267.90;270.97
22/06/2010;275.97;271.50;273.85
21/06/2010;279.01;268.73;270.17
18/06/2010;275.00;271.42;274.07
17/06/2010;272.90;269.50;271.87
16/06/2010;267.75;260.63;267.25
15/06/2010;259.85;255.50;259.69
14/06/2010;259.15;254.01;254.28
11/06/2010;253.86;247.37;253.51
10/06/2010;250.98;242.20;250.51
09/06/2010;251.90;242.49;243.20
08/06/2010;253.80;245.65;249.33
07/06/2010;259.15;250.55;250.94
04/06/2010;261.90;254.63;255.96
03/06/2010;265.55;260.41;263.12
02/06/2010;264.80;260.33;263.95
01/06/2010;265.94;258.96;260.83
28/05/2010;259.40;253.35;256.88
27/05/2010;253.89;249.11;253.35
26/05/2010;252.13;243.75;244.11
25/05/2010;246.76;237.16;245.22
24/05/2010;250.90;246.26;246.76
21/05/2010;244.50;231.35;242.32
20/05/2010;243.85;236.21;237.76
19/05/2010;252.92;244.85;248.34
18/05/2010;258.55;250.26;252.36
17/05/2010;256.18;247.71;254.22
14/05/2010;256.48;249.50;253.82
13/05/2010;265.00;256.40;258.36
12/05/2010;263.13;258.70;262.09
11/05/2010;259.89;250.50;256.52
10/05/2010;254.65;248.53;253.99
07/05/2010;246.57;225.21;235.86
06/05/2010;258.25;199.25;246.25
05/05/2010;258.14;248.73;255.99
04/05/2010;263.29;256.75;258.68
03/05/2010;267.88;262.88;266.35
30/04/2010;270.57;261.00;261.09
29/04/2010;270.00;262.01;268.64
28/04/2010;264.00;256.41;261.60
27/04/2010;267.84;260.52;262.04
26/04/2010;272.46;268.19;269.50
23/04/2010;272.18;267.00;270.83
22/04/2010;266.75;256.20;266.47
21/04/2010;260.25;255.73;259.22
20/04/2010;249.25;242.96;244.59
19/04/2010;247.89;241.77;247.07
16/04/2010;251.14;244.55;247.40
15/04/2010;249.03;245.51;248.92
14/04/2010;245.81;244.07;245.69
13/04/2010;242.80;241.11;242.43
12/04/2010;243.07;241.81;242.29
09/04/2010;241.89;240.46;241.79
08/04/2010;241.54;238.04;239.95
07/04/2010;241.92;238.66;240.60
06/04/2010;240.24;237.00;239.54
05/04/2010;238.51;234.77;238.49
01/04/2010;238.73;232.75;235.97
31/03/2010;236.61;234.46;235.00
30/03/2010;237.48;234.25;235.85
29/03/2010;233.87;231.62;232.39
26/03/2010;231.95;228.55;230.90
25/03/2010;230.97;226.25;226.65
24/03/2010;230.20;227.51;229.37
23/03/2010;228.78;224.10;228.36
22/03/2010;226.00;220.15;224.75
19/03/2010;225.24;221.23;222.25
18/03/2010;225.00;222.61;224.65
17/03/2010;226.45;223.27;224.12
16/03/2010;224.98;222.51;224.45
15/03/2010;225.50;220.25;223.84
12/03/2010;227.73;225.75;226.60
11/03/2010;225.50;223.32;225.50
10/03/2010;225.48;223.20;224.84
09/03/2010;225.00;217.89;223.02
08/03/2010;220.09;218.25;219.08
